date,gd,gd_acumulado,dmf_hours
2026-08-01,11.88,11.88,6.75
2026-08-02,12.27,24.15,6.25
2026-08-03,12.75,36.91,6.5
2026-08-04,13.07,49.98,6.0
2026-08-05,11.51,61.49,6.75
2026-08-06,11.93,73.42,6.75
2026-08-07,12.32,85.73,6.5
2026-08-08,12.69,98.42,6.5
2026-08-09,13.0,111.42,6.25
2026-08-10,11.51,122.94,6.75
2026-08-11,12.0,134.93,6.75
2026-08-12,12.27,147.19,6.25
2026-08-13,12.62,159.81,6.25
2026-08-14,13.11,172.93,5.75
2026-08-15,11.5,184.42,7.0
2026-08-16,11.84,196.26,7.25
2026-08-17,12.31,208.57,5.25
2026-08-24,2.25,210.82,0.0
2026-09-01,13.23,224.06,0.0
