date,temperature_avg,temperature_min,temperature_max,humidity_avg,humidity_min,humidity_max,pressure_avg,pressure_min,pressure_max
2026-08-01,21.91,14.04,29.73,74.41,48.03,98.0,1013.23,1011.11,1015.51
2026-08-02,22.29,14.51,30.03,73.88,46.85,98.0,1013.25,1011.03,1015.46
2026-08-03,22.7,15.03,30.48,73.61,46.85,98.0,1013.25,1010.96,1015.5
2026-08-04,23.08,15.27,30.88,73.4,46.78,98.0,1013.28,1011.05,1015.43
2026-08-05,21.49,13.73,29.29,74.72,47.64,98.0,1013.24,1010.98,1015.51
2026-08-06,21.93,14.1,29.75,74.21,47.53,98.0,1013.23,1010.96,1015.47
2026-08-07,22.31,14.69,29.94,73.97,47.14,98.0,1013.24,1011.04,1015.5
2026-08-08,22.71,14.82,30.56,73.7,46.77,98.0,1013.26,1011.07,1015.38
2026-08-09,23.07,15.27,30.73,73.29,46.54,98.0,1013.24,1011.12,1015.35
2026-08-10,21.52,13.66,29.36,74.71,48.58,98.0,1013.22,1011.0,1015.35
2026-08-11,21.88,14.28,29.71,74.24,47.39,98.0,1013.26,1011.0,1015.48
2026-08-12,22.29,14.42,30.11,73.91,47.31,98.0,1013.23,1010.99,1015.48
2026-08-13,22.7,14.86,30.38,73.57,46.38,98.0,1013.27,1011.02,1015.49
2026-08-14,23.05,15.25,30.97,73.17,46.54,98.0,1013.23,1011.06,1015.38
2026-08-15,21.48,13.78,29.21,74.69,47.6,98.0,1013.26,1011.07,1015.49
2026-08-16,21.89,14.07,29.6,74.31,47.73,98.0,1013.24,1011.02,1015.38
2026-08-17,22.84,14.52,30.11,71.92,47.21,98.0,1013.8,1011.51,1015.4
2026-08-24,8.17,0.0,24.5,60.0,60.0,60.0,1013.0,1013.0,1013.0
